MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,Form5Home,Form5Away,OddHome,OddDraw,OddAway,HomeElo,AwayElo,GoalDiff,Favorite,Upset,EloDiff,HomePrecision,AwayPrecision
2000-08-26,Everton,Derby,2.0,2.0,D,2.0,0.0,H,12.0,7.0,9.0,4.0,11.0,9.0,11.0,2.0,2.0,3.0,0.0,0.0,8.0,3.0,1.66,3.5,4.1,1685.55,1636.08,0.0,Everton,False,49.5,0.75,0.57
2000-08-26,Ipswich,Sunderland,1.0,0.0,H,0.0,0.0,D,14.0,9.0,5.0,3.0,10.0,12.0,7.0,6.0,1.0,1.0,0.0,0.0,3.0,8.0,2.3,3.2,2.65,1638.08,1712.13,1.0,Ipswich,False,-74.1,0.36,0.33
2000-08-26,Man City,Coventry,1.0,2.0,A,0.0,2.0,A,14.0,9.0,5.0,8.0,7.0,12.0,5.0,5.0,2.0,3.0,0.0,0.0,8.0,8.0,1.95,3.5,3.1,1579.99,1635.61,-1.0,Man City,True,-55.6,0.36,0.89
2000-08-26,Middlesbrough,Leeds,1.0,2.0,A,0.0,2.0,A,15.0,16.0,8.0,11.0,12.0,20.0,4.0,8.0,2.0,0.0,0.0,0.0,10.0,15.0,2.3,3.2,2.65,1679.18,1782.55,-1.0,Middlesbrough,True,-103.4,0.53,0.69
2000-08-26,Newcastle,Tottenham,2.0,0.0,H,1.0,0.0,H,15.0,10.0,6.0,2.0,13.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,10.0,1.95,3.4,3.25,1712.19,1676.8,2.0,Newcastle,False,35.4,0.4,0.2
2000-08-26,Southampton,Liverpool,3.0,3.0,D,0.0,1.0,A,14.0,9.0,7.0,4.0,7.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,3.4,1.7,1630.02,1770.15,0.0,Liverpool,False,-140.1,0.5,0.44
2000-08-26,West Ham,Man United,2.0,2.0,D,0.0,1.0,A,17.0,8.0,8.0,5.0,12.0,9.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,4.2,3.5,1.65,1681.36,1931.95,0.0,Man United,False,-250.6,0.47,0.62
2000-08-27,Aston Villa,Chelsea,1.0,1.0,D,1.0,1.0,D,12.0,11.0,9.0,7.0,13.0,12.0,7.0,10.0,0.0,1.0,0.0,0.0,5.0,8.0,2.7,3.3,2.2,1728.2,1800.17,0.0,Chelsea,False,-72.0,0.75,0.64
2000-09-05,Leeds,Man City,1.0,2.0,A,0.0,2.0,A,6.0,8.0,1.0,3.0,18.0,24.0,9.0,4.0,2.0,2.0,0.0,0.0,15.0,5.0,1.33,4.2,6.8,1807.01,1577.47,-1.0,Leeds,True,229.5,0.17,0.38
2000-09-05,Man United,Bradford,6.0,0.0,H,2.0,0.0,H,21.0,6.0,12.0,4.0,12.0,10.0,5.0,1.0,0.0,1.0,0.0,0.0,8.0,7.0,1.2,5.5,9.0,1927.83,1596.85,6.0,Man United,False,331.0,0.57,0.67
